Date,Levels
01.01.1993 00:00:00   ,228.62
01.02.1993 00:00:00   ,228.61
01.03.1993 00:00:00   ,228.59
01.04.1993 00:00:00   ,228.61
01.05.1993 00:00:00   ,228.59
01.06.1993 00:00:00   ,228.54
01.07.1993 00:00:00   ,228.48
01.08.1993 00:00:00   ,228.41
01.09.1993 00:00:00   ,228.41
01.10.1993 00:00:00   ,228.42
01.11.1993 00:00:00   ,228.43
01.12.1993 00:00:00   ,228.47
01.01.1994 00:00:00   ,228.61
01.02.1994 00:00:00   ,228.68
01.03.1994 00:00:00   ,228.93
01.04.1994 00:00:00   ,229.08
01.05.1994 00:00:00   ,229.2
01.06.1994 00:00:00   ,229.36
01.07.1994 00:00:00   ,229.5
01.08.1994 00:00:00   ,229.42
01.09.1994 00:00:00   ,229.2
01.10.1994 00:00:00   ,228.98
01.11.1994 00:00:00   ,228.84
01.12.1994 00:00:00   ,228.76
01.01.1995 00:00:00   ,228.69
01.02.1995 00:00:00   ,228.62
01.03.1995 00:00:00   ,228.57
01.04.1995 00:00:00   ,228.53
01.05.1995 00:00:00   ,228.53
01.06.1995 00:00:00   ,228.58
01.07.1995 00:00:00   ,228.6
01.08.1995 00:00:00   ,228.57
01.09.1995 00:00:00   ,228.56
01.10.1995 00:00:00   ,228.54
01.11.1995 00:00:00   ,228.48
01.12.1995 00:00:00   ,228.45
01.01.1996 00:00:00   ,228.39
01.02.1996 00:00:00   ,228.35
01.03.1996 00:00:00   ,228.34
01.04.1996 00:00:00   ,228.37
01.05.1996 00:00:00   ,228.5
01.06.1996 00:00:00   ,228.65
01.07.1996 00:00:00   ,228.8
01.08.1996 00:00:00   ,228.91
01.09.1996 00:00:00   ,229.02
01.10.1996 00:00:00   ,229.2
01.11.1996 00:00:00   ,229.32
01.12.1996 00:00:00   ,229.33
01.01.1997 00:00:00   ,229.29
01.02.1997 00:00:00   ,229.24
01.03.1997 00:00:00   ,229.18
01.04.1997 00:00:00   ,229.2
01.05.1997 00:00:00   ,229.2
01.06.1997 00:00:00   ,229.27
01.07.1997 00:00:00   ,229.4
01.08.1997 00:00:00   ,229.57
01.09.1997 00:00:00   ,229.59
01.10.1997 00:00:00   ,229.58
01.11.1997 00:00:00   ,229.51
01.12.1997 00:00:00   ,229.46
01.01.1998 00:00:00   ,229.42
01.02.1998 00:00:00   ,229.39
01.03.1998 00:00:00   ,229.39
01.04.1998 00:00:00   ,229.36
01.05.1998 00:00:00   ,229.3
01.06.1998 00:00:00   ,229.27
01.07.1998 00:00:00   ,229.24
01.08.1998 00:00:00   ,229.26
01.09.1998 00:00:00   ,229.34
01.10.1998 00:00:00   ,229.44
01.11.1998 00:00:00   ,229.52
01.12.1998 00:00:00   ,229.6
01.01.1999 00:00:00   ,229.63
01.02.1999 00:00:00   ,229.65
01.03.1999 00:00:00   ,229.64
01.04.1999 00:00:00   ,229.66
01.05.1999 00:00:00   ,229.68
01.06.1999 00:00:00   ,229.77
01.07.1999 00:00:00   ,229.78
01.08.1999 00:00:00   ,229.73
01.09.1999 00:00:00   ,229.76
01.10.1999 00:00:00   ,229.75
01.11.1999 00:00:00   ,229.7
01.12.1999 00:00:00   ,229.67
01.01.2000 00:00:00   ,229.54
01.02.2000 00:00:00   ,229.51
01.03.2000 00:00:00   ,229.49
01.04.2000 00:00:00   ,229.52
01.05.2000 00:00:00   ,229.51
01.06.2000 00:00:00   ,229.45
01.07.2000 00:00:00   ,229.38
01.08.2000 00:00:00   ,229.33
01.09.2000 00:00:00   ,229.29
01.10.2000 00:00:00   ,229.21
01.11.2000 00:00:00   ,229.18
01.12.2000 00:00:00   ,229.14
01.01.2001 00:00:00   ,229.07
01.02.2001 00:00:00   ,229.03
01.03.2001 00:00:00   ,228.96
01.04.2001 00:00:00   ,228.85
01.05.2001 00:00:00   ,228.74
01.06.2001 00:00:00   ,228.63
01.07.2001 00:00:00   ,228.52
01.08.2001 00:00:00   ,228.4
01.09.2001 00:00:00   ,228.31
01.10.2001 00:00:00   ,228.24
01.11.2001 00:00:00   ,228.16
01.12.2001 00:00:00   ,228.08
01.01.2002 00:00:00   ,228.01
01.02.2002 00:00:00   ,227.94
01.03.2002 00:00:00   ,227.87
01.04.2002 00:00:00   ,227.79
01.05.2002 00:00:00   ,227.72
01.06.2002 00:00:00   ,227.65
01.07.2002 00:00:00   ,227.57
01.08.2002 00:00:00   ,227.5
01.09.2002 00:00:00   ,227.44
01.10.2002 00:00:00   ,227.39
01.11.2002 00:00:00   ,227.35
01.12.2002 00:00:00   ,227.32
01.01.2003 00:00:00   ,227.29
01.02.2003 00:00:00   ,227.27
01.03.2003 00:00:00   ,227.25
01.04.2003 00:00:00   ,227.22
01.05.2003 00:00:00   ,227.18
01.06.2003 00:00:00   ,227.14
01.07.2003 00:00:00   ,227.1
01.08.2003 00:00:00   ,227.05
01.09.2003 00:00:00   ,227.01
01.10.2003 00:00:00   ,226.98
01.11.2003 00:00:00   ,226.95
01.12.2003 00:00:00   ,226.93
01.01.2004 00:00:00   ,226.9
01.02.2004 00:00:00   ,226.89
01.03.2004 00:00:00   ,226.86
01.04.2004 00:00:00   ,226.85
01.05.2004 00:00:00   ,226.86
01.06.2004 00:00:00   ,226.87
01.07.2004 00:00:00   ,226.9
01.08.2004 00:00:00   ,226.91
01.09.2004 00:00:00   ,226.93
01.10.2004 00:00:00   ,226.92
01.11.2004 00:00:00   ,226.9
01.12.2004 00:00:00   ,226.87
01.01.2005 00:00:00   ,226.82
01.02.2005 00:00:00   ,226.85
01.03.2005 00:00:00   ,226.8
01.04.2005 00:00:00   ,226.78
01.05.2005 00:00:00   ,226.79
01.06.2005 00:00:00   ,226.78
01.07.2005 00:00:00   ,226.76
01.08.2005 00:00:00   ,226.78
01.09.2005 00:00:00   ,226.87
01.10.2005 00:00:00   ,226.91
01.11.2005 00:00:00   ,226.94
01.12.2005 00:00:00   ,226.92
01.01.2006 00:00:00   ,226.94
01.02.2006 00:00:00   ,226.95
01.03.2006 00:00:00   ,226.98
01.04.2006 00:00:00   ,227.0
01.05.2006 00:00:00   ,227.01
01.06.2006 00:00:00   ,227.02
01.07.2006 00:00:00   ,
01.08.2006 00:00:00   ,227.14
01.09.2006 00:00:00   ,227.2
01.10.2006 00:00:00   ,227.25
01.11.2006 00:00:00   ,227.29
01.12.2006 00:00:00   ,227.31
01.01.2007 00:00:00   ,227.3
01.02.2007 00:00:00   ,227.27
01.03.2007 00:00:00   ,227.22
01.04.2007 00:00:00   ,227.18
01.05.2007 00:00:00   ,227.16
01.06.2007 00:00:00   ,227.12
01.07.2007 00:00:00   ,227.08
01.08.2007 00:00:00   ,227.05
01.09.2007 00:00:00   ,227.07
01.10.2007 00:00:00   ,227.16
01.11.2007 00:00:00   ,227.24
01.12.2007 00:00:00   ,227.33
01.01.2008 00:00:00   ,227.33
01.02.2008 00:00:00   ,227.41
01.03.2008 00:00:00   ,227.51
01.04.2008 00:00:00   ,227.47
01.05.2008 00:00:00   ,227.38
